2,6,6,8,17,20,4,18,13,6
3,1,4,12,17,9,18,17,6,13
0,1,0,14,0,3,5,26,34,17
0,3,2,3,4,8,0,23,25,32
0,3,2,3,4,8,0,23,25,32
0,5,9,8,11,13,14,17,19,4
1,2,4,3,0,18,3,27,33,9
1,2,5,2,0,18,3,27,33,9
0,1,5,7,3,0,6,25,26,27
2,2,1,0,3,21,8,3,33,27
3,8,7,11,10,16,17,8,18,2
2,5,8,12,15,7,12,14,20,5
0,5,4,13,16,4,19,26,6,7
4,8,2,14,13,14,11,20,3,11
2,4,2,7,12,17,13,22,11,10
3,8,1,0,8,0,23,0,32,25
2,4,0,0,3,21,2,10,25,33
1,2,0,4,2,18,26,4,10,33
2,5,10,12,15,9,16,9,18,4
2,2,7,10,18,12,9,17,14,9
1,4,9,6,13,7,17,19,12,12
0,6,9,7,13,17,22,1,14,11
2,3,6,7,12,16,10,12,15,17
0,3,11,8,2,2,18,1,26,29
0,4,10,8,3,1,18,26,1,29
0,3,0,7,3,4,21,26,2,34
4,5,7,12,10,16,11,16,2,17
1,2,1,10,0,0,3,30,33,20
0,3,8,11,2,18,1,2,26,29
1,4,7,8,15,4,11,15,8,27
0,5,9,10,11,9,5,16,23,12
2,4,0,1,1,18,5,27,34,8
1,1,10,2,0,2,0,28,34,22
2,0,10,0,2,0,2,23,34,27
1,0,10,0,3,1,0,22,35,28
0,1,10,2,1,2,21,0,28,35
1,1,9,0,1,4,23,29,29,3
2,1,2,1,8,1,24,28,29,4
2,2,9,10,7,12,10,14,22,12
1,4,4,9,6,9,17,16,13,21
1,3,2,3,7,0,21,1,33,29
2,4,8,8,14,12,3,25,12,12
4,5,2,8,14,18,7,18,9,15
2,3,6,8,5,19,21,8,13,15
0,0,8,12,6,20,3,6,15,30
1,0,1,1,10,1,2,23,27,34
0,4,1,11,16,9,21,26,4,8
0,5,1,15,8,12,9,5,26,19
0,4,2,15,9,11,5,9,26,19
2,3,9,8,17,18,9,11,3,20
2,5,6,11,3,13,25,12,9,14
2,5,6,11,4,12,25,12,9,14
2,6,11,14,10,2,27,11,11,6
0,6,4,8,3,18,13,20,10,18
0,4,3,6,13,4,19,15,28,8
1,1,2,0,2,11,22,0,32,29
1,5,6,11,4,12,8,26,15,12
0,2,8,5,14,4,13,2,32,20
0,1,9,5,14,4,13,3,31,20
0,1,9,5,14,13,2,4,31,21
0,3,4,3,6,2,22,25,2,33
2,8,7,10,15,20,10,18,7,3
4,1,10,5,16,1,26,13,9,15
0,3,9,8,16,2,12,24,13,13
0,4,8,14,0,20,7,6,13,28
2,0,9,4,4,13,14,2,21,31
1,9,0,4,4,2,13,14,22,31
0,2,3,4,7,14,21,28,6,15
2,6,5,11,5,16,18,13,6,18
0,3,5,9,8,15,16,15,7,22
2,2,10,5,13,13,2,0,21,32
1,4,2,3,15,18,8,14,29,6
1,4,2,3,18,15,8,14,29,6
0,1,1,8,16,7,15,28,16,8
1,3,2,2,15,8,6,19,17,27
1,3,2,2,14,8,7,20,16,27
0,4,2,10,0,1,0,24,32,27
0,6,5,12,11,16,17,4,24,5
5,9,11,12,17,21,0,5,15,5
2,4,1,5,15,22,4,6,24,17
